"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000215030",410.973317042431,-1.24920266483265,0.153100375007528,-8.15937037888525,3.36775470726853e-16,1.82532305133954e-13
"ENSG00000108602",300.173749802186,1.01304780981657,0.146357108190366,6.92175339033689,4.46087332185821e-12,8.78018817705232e-10
"ENSG00000239291",199.391291605893,-1.2814804020348,0.185463495333093,-6.90960989241173,4.85988275482601e-12,8.78018817705232e-10
"ENSG00000230897",535.201173345582,-1.01215511770879,0.147816292872563,-6.84738534595373,7.52119266757993e-12,1.01912160645708e-09
"ENSG00000213228",770.477551196741,-0.912937723903084,0.137411903887918,-6.6438037613374,3.05689516923382e-11,3.31367436344947e-09
"ENSG00000228007",181.428267726944,-1.15608460196384,0.175238608665885,-6.59720258432352,4.18988075121583e-11,3.78485894526497e-09
"ENSG00000232344",404.330935592125,-1.17144743442243,0.182328185950854,-6.42493878998056,1.31922590295998e-10,1.02145777057758e-08
"ENSG00000239809",105.147651360811,-1.32895973167069,0.208491887133294,-6.37415560837175,1.83973724984327e-10,1.24642198676882e-08
"ENSG00000213939",606.217924062153,-1.04436063001498,0.166105990147301,-6.28731467834999,3.23004234727211e-10,1.94520328024609e-08
"ENSG00000239527",336.253052404382,-0.894091873858279,0.143919655489493,-6.2124375632872,5.21689120910036e-10,2.82755503533239e-08
"ENSG00000189343",257.147029523329,-1.23147220807339,0.198754013565985,-6.1959614599911,5.79303015742032e-10,2.85438395029256e-08
"ENSG00000108298",1609.7963409848,-0.711792581456593,0.118013064257779,-6.03147275204892,1.62472122746512e-09,7.33832421071744e-08
"ENSG00000007171",21.2481072793063,3.00556100633426,0.512829146769292,5.86074528967127,4.60794321329854e-09,1.92115786277524e-07
"ENSG00000213128",150.973749062488,-1.13089582874124,0.19726007609388,-5.73301932725115,9.86583862695390e-09,3.81948895414929e-07
"ENSG00000227077",111.989199925348,-1.18243163868759,0.209847057117071,-5.63473062206408,1.75332183251784e-08,6.3353362214978e-07
"ENSG00000185624",128.236548639634,1.11662259859237,0.19922480178971,5.60483729215104,2.0845068805988e-08,7.06126705802843e-07
"ENSG00000271002",80.2133748506784,-1.27864316167929,0.232172553410959,-5.50729680530334,3.64385619281305e-08,1.16174709206157e-06
"ENSG00000274756",107.41524622299,-1.17554354951038,0.215088362787379,-5.46539819391549,4.6186881210422e-08,1.39073831200271e-06
"ENSG00000125691",937.040744268307,-0.712380361539846,0.130616607404004,-5.45397997772531,4.92547503502761e-08,1.40505656262366e-06
"ENSG00000131469",371.137877954869,-0.759720222213449,0.139922172009926,-5.42959140285184,5.64832192473408e-08,1.53069524160293e-06
"ENSG00000030582",79.2097578082581,1.367644468505,0.253591512633897,5.39310032224712,6.92522614538194e-08,1.78736789085572e-06
"ENSG00000213326",125.794048599879,-1.07095691225248,0.199560774062488,-5.36657024549892,8.0247955346539e-08,1.97701780899201e-06
"ENSG00000108582",92.5505617920559,1.19747747689205,0.223729724384207,5.3523396597747,8.68242272189639e-08,2.04603178924689e-06
"ENSG00000141503",256.491433925733,0.816787602249304,0.156506684025333,5.21886721539058,1.80020763539501e-07,4.06546890993374e-06
"ENSG00000233380",85.441054486059,-1.22917422260817,0.236573777718636,-5.19573316392685,2.03914574736811e-07,4.25083459643659e-06
"ENSG00000244582",348.563673333593,-0.785476770671108,0.151072074731769,-5.19935118429885,1.99985365923239e-07,4.25083459643659e-06
"ENSG00000108518",854.8732523011,-0.655138644315926,0.126620518104807,-5.17403225102626,2.29095253970227e-07,4.40089155762039e-06
"ENSG00000171298",29.4052472573647,2.0001090809675,0.386950398990771,5.16890300716606,2.35472057511054e-07,4.40089155762039e-06
"ENSG00000241157",109.940158964852,-1.03869628562142,0.200871186861477,-5.17095707876569,2.32898061979222e-07,4.40089155762039e-06
"ENSG00000187504",141.810246165685,-0.975407569257885,0.192008611792478,-5.08001990198285,3.7739532929653e-07,6.81827561595732e-06
"ENSG00000108424",506.707359715615,-0.810466089821859,0.162378717711727,-4.99120883107779,6.00025814451377e-07,1.04734509917966e-05
"ENSG00000186832",140.387128567852,1.23037734802903,0.246796442219281,4.98539337506261,6.18358730142975e-07,1.04734509917966e-05
